day,pos,area,maj_ax,min_ax,peri,gmd,sf,v_projected,v_corrected
8,f,18766.08,158.914,151.644,847.634,155.236,0.5729059662898932,1933856.0583874073,1107917.6737960018
8,g,17818.88,156.691,145.656,744.694,151.073,0.6354293619042776,1789305.1212116478,1136977.0114235734
8,h,18238.72,158.419,147.198,654.251,152.705,0.7317415482497042,1852914.306013647,1355854.3830564523
8,i,13427.84,148.709,118.256,907.337,132.611,0.45273012078883373,1170504.363112898,529922.5816959592
8,j,16661.76,148.008,143.74,594.738,145.858,0.769377853842061,1617875.5506912868,1244757.6189744049
8,k,14618.24,139.176,134.602,679.862,136.87,0.6304225050732941,1329555.3806678334,838181.6337142927
8,l,17137.92,157.882,139.33,692.263,148.316,0.6703673708814031,1687722.2155874865,1131393.9044415199
8,m,17982.08,169.201,136.154,721.873,151.781,0.6585126109580987,1813943.2190826347,1194504.485327844
8,n,11659.52,132.912,113.163,639.127,122.641,0.5989052265398322,947075.9490109575,567208.7357928341
8,o,13348.48,151.347,114.076,653.423,131.397,0.626796297366588,1160142.9973115223,727173.3351306376
8,p,12446.08,130.227,122.318,494.142,126.211,0.8003306650879908,1044510.1931821585,835953.5376006627
8,q,11534.08,122.646,120.537,584.168,121.587,0.6517163979689217,931833.3277387907,607291.0598613183
8,q18,10305.92,117.799,112.702,632.841,115.222,0.5686613442673929,787034.8268678379,447556.28263191954
8,r,8454.4,111.798,99.138,731.033,105.278,0.4458711226263357,584773.9094033011,260733.799468241
8,s,4297.6,81.792,73.858,686.862,77.724,0.33833617674642674,211935.05004897347,71705.29455213228
9,a,5544.96,91.532,83.01,637.48,87.167,0.41408316757052144,310607.13422505767,128617.186009914
9,b,10602.24,119.73,114.014,603.212,116.837,0.6051092264586527,821221.3787378882,496928.6332393918
9,c,15330.56,147.819,133.289,755.752,140.366,0.5807706177006186,1427909.9802380386,829288.1612437237
9,d,17283.84,155.614,142.617,917.268,148.974,0.5080761487680875,1709323.078135689,868466.2865395936
9,e,16003.84,146.534,140.722,882.143,143.599,0.5083678065794595,1523000.6949291734,774244.5227001364
9,f,18766.72,170.466,141.872,1071.242,155.513,0.4533269387123687,1933954.9878199012,876713.894235912
9,g,16818.56,156.431,138.298,853.178,147.085,0.5388398272471132,1640767.381270134,884110.8122762972
9,h,17848.96,156.409,146.484,861.216,151.365,0.5499197285721048,1793837.814005134,986466.8037800811
9,i,274.56,32.817,16.462,126.86,23.243,0.46301904836211316,3422.3127834661973,1584.5960081980134
9,j,16720.64,149.83,142.802,663.851,146.274,0.6904953630465869,1626459.0936468828,1123062.462348127
9,k,15040.64,149.221,129.216,726.782,138.859,0.598182808606273,1387596.7532061352,830036.5230457914
9,l,17960.96,171.808,138.102,979.919,154.036,0.4848188827440198,1810748.4360282742,877885.0336857091
9,m,16080.0,157.181,130.857,741.352,143.416,0.6063501518840176,1533885.2345814232,930071.544961098
9,n,11032.96,127.102,111.501,457.275,119.046,0.8142794889899742,871769.8917216973,709864.3419479887
9,o,11303.04,124.734,115.982,512.684,120.278,0.7351107947667553,903975.57674017,664522.2046672024
9,p,12408.96,134.789,119.066,732.221,126.684,0.5393000295599532,1039840.8561555106,560786.2044623139
9,q18,9068.16,113.837,103.286,670.119,108.433,0.5037471329752904,649594.8328430817,327231.5346402654
9,r,8257.28,111.612,98.391,869.594,104.793,0.37043064107661655,564441.9941988492,209086.60976164357
9,s,3059.84,68.124,66.04,637.972,67.074,0.30736376862891457,127324.46991794568,39134.92891265865
10,a,5173.76,93.917,73.319,511.17,82.981,0.4988186857537276,279945.3244800647,139641.9588400467
10,b,10180.48,117.138,112.119,578.734,114.601,0.6180307190183703,772709.3775520748,477558.13220074616
10,c,13539.84,134.265,129.22,606.99,131.718,0.679563683818156,1185179.4122849759,805404.8873978154
10,d,15670.4,143.382,139.731,571.87,141.545,0.775974873693943,1475651.9082187552,1145068.8030962746
10,e,14362.24,143.731,128.062,638.796,135.67,0.6650492895504533,1294783.2420760475,861094.6752645079
10,f,16448.0,147.594,143.368,663.908,145.466,0.6847839595057013,1586841.1213235925,1086643.3461664366
10,g,16096.64,146.834,141.084,814.276,143.93,0.552332900087064,1536266.8066290135,848530.7006128959
10,h,16007.04,143.842,142.203,566.706,143.02,0.7914120095929221,1523457.5083412023,1205682.5682057368
10,i,9190.4,116.996,110.604,494.052,113.755,0.6878590843165333,662773.9358714903,455895.07263742806
10,j,15557.12,151.081,131.424,583.368,140.91,0.757926217659879,1459679.8159168751,1106329.6018723457
10,k,14621.44,144.172,129.875,614.682,136.837,0.6973479195203697,1329991.973244602,927467.1355209145
10,l,16206.08,151.397,136.982,661.177,144.009,0.6825369754599951,1551960.8729893216,1059270.6802823853
10,m,15605.76,153.629,129.994,601.773,141.318,0.7358930403893054,1466530.7908316604,1079209.802489643
10,n,10319.36,127.719,104.461,689.92,115.506,0.521954419148192,788574.8925699274,411600.1500061843
10,o,11066.24,121.543,116.829,511.193,119.163,0.729491231786076,875717.2960613628,638828.0890001754
10,p,12028.16,129.865,119.815,597.967,124.739,0.6501705786428611,992344.7925365296,645193.3879767054
10,q18,8772.48,111.31,101.751,594.412,106.423,0.5585712223017048,618083.8278007098,345243.83917955885
10,r,7665.92,106.9,93.133,587.046,99.779,0.5287068535825372,504905.64278083266,266947.0737507225
10,s,4088.96,80.214,77.767,873.836,78.981,0.25940684424090427,196690.36825202266,51022.82772083854
14,a,4940.16,84.744,76.034,459.714,80.271,0.5419855522042955,261201.2931064036,141567.3270807502
14,b,8274.56,105.87,100.736,544.14,103.271,0.5926069417291181,566214.731473592,335542.7803805392
14,c,9831.68,112.774,111.606,471.605,112.188,0.7453159210688849,733340.047589506,546570.0130258725
14,d,13543.68,137.904,125.784,613.612,131.705,0.6723252620350646,1185683.63666377,797165.0617106576
14,e,11301.12,127.276,113.609,557.323,120.248,0.6761743762075302,903745.2547118827,611089.3838553227
14,f,13978.24,136.315,132.03,669.196,134.155,0.6262934101003816,1243204.4028298713,778610.7249001287
14,g,13224.96,134.358,125.964,550.871,130.093,0.7400349069058187,1144077.253297348,846657.1036369677
14,h,13041.92,133.073,125.638,688.898,129.302,0.587652751633417,1120407.7341677335,658410.6879350306
14,i,571.52,35.801,21.446,114.278,27.709,0.7415800148944429,10278.055289077436,7622.000394359953
14,j,12858.24,133.675,123.25,599.363,128.357,0.6706651914081255,1096821.8454260353,735600.2329032655
14,k,11609.6,128.502,115.856,570.37,122.015,0.6696638967929633,941000.1341119189,630153.8166920887
14,l,13806.72,137.35,131.339,901.571,134.311,0.4620088098639619,1220392.6305339772,563832.1467997526
14,m,12973.44,132.46,125.074,550.762,128.714,0.7331089769508349,1111594.8389247598,814920.1551479587
14,n,8707.84,110.822,101.081,427.178,105.839,0.7743749117437884,611264.9037835586,473348.2059194685
14,o,9577.6,114.17,108.096,584.608,111.091,0.5934286715762199,705096.9612423794,418424.75304249465
14,p,9297.28,114.955,103.802,531.894,109.236,0.6426252649829685,674369.1055831235,433366.62517168216
14,q18,7696.64,102.25,97.81,522.45,100.005,0.5952655993885413,507943.6793452306,302361.3987410597
14,r,6197.76,95.074,90.097,813.064,92.552,0.3432397501234054,367042.14342744974,125983.45359479699
14,s,3775.36,76.002,70.462,557.996,73.18,0.3903489642821959,174502.38036453092,68116.82344007245
